lambda,zeta
340,0
350,0
360,0
370,0
380,0
390,0
400,0
410,0
420,0
430,0
440,2
450,75
460,92
470,93
480,92
490,92
500,93
510,92
520,92
530,92
540,5
550,0
560,0
570,0
580,0
590,0
600,0
610,0
620,0
630,0
640,5
650,95
660,97
670,97
680,97
690,97
700,97
710,97
720,98
730,91
740,90
750,97
760,70
780,32
800,50
820,90
840,72
860,82
880,87
900,85
920,77
940,60
960,62
980,92
1000,60
1020,32
1040,40
1060,30
1080,20
1100,10
