lambda,zeta
340,0
360,0
380,0
400,0
420,0
440,0
460,0
480,0
500,0
520,0
540,0
560,0
580,0
600,0
620,0
640,20
650,90
660,97
680,97
700,98
720,98
740,98
760,97
780,97
800,95
820,95
830,95
840,50
870,10
860,5
880,0
900,0
920,0
940,0
960,0
980,0
1000,0
1020,0
1040,0
1060,1
1080,2
1100,5
